maintenance_id,equipment_id,worker_id,type,description,status,scheduled_date,completed_date
MNT-1,EQ-COB-3,W-108,EMERGENCY,Standard checks on Coke Oven Battery Compressor 3.,OVERDUE,2026-07-11T14:51:13.789862,
MNT-2,EQ-MW-2,W-162,CORRECTIVE,Standard checks on Maintenance Workshop Conveyor Belt 2.,COMPLETED,2026-07-10T03:21:13.789862,2026-07-10T06:21:13.789862
MNT-3,EQ-CS-5,W-169,PREVENTIVE,Standard checks on Compressor Station Extractor Fan 5.,OVERDUE,2026-07-04T09:31:13.789862,
MNT-4,EQ-CR-3,W-75,CORRECTIVE,Standard checks on Control Room Hub Compressor 3.,OVERDUE,2026-07-11T08:06:13.789862,
MNT-5,EQ-UA-4,W-162,CORRECTIVE,Standard checks on Utilities Area Steam Boiler 4.,SCHEDULED,2026-07-07T09:56:13.789862,
MNT-6,EQ-RMH-1,W-124,PREVENTIVE,Standard checks on Raw Material Handling Storage Tank 1.,COMPLETED,2026-07-06T00:56:13.789862,2026-07-06T02:56:13.789862
MNT-7,EQ-CR-3,W-230,CORRECTIVE,Standard checks on Control Room Hub Compressor 3.,OVERDUE,2026-07-05T22:06:13.789862,
MNT-8,EQ-BH-3,W-64,PREVENTIVE,Standard checks on Boiler House Valve Block 3.,OVERDUE,2026-07-11T06:11:13.789862,
MNT-9,EQ-BF-5,W-119,PREVENTIVE,Standard checks on Blast Furnace Turbine Generator 5.,SCHEDULED,2026-07-06T08:56:13.789862,
MNT-10,EQ-BH-5,W-179,PREVENTIVE,Standard checks on Boiler House Extractor Fan 5.,SCHEDULED,2026-07-07T11:56:13.789862,
MNT-11,EQ-UA-3,W-226,EMERGENCY,Standard checks on Utilities Area Compressor 3.,OVERDUE,2026-07-08T17:11:13.789862,
MNT-12,EQ-MW-4,W-176,CORRECTIVE,Standard checks on Maintenance Workshop Preheater 4.,COMPLETED,2026-07-05T04:11:13.789862,2026-07-05T07:11:13.789862
MNT-13,EQ-CS-4,W-56,CORRECTIVE,Standard checks on Compressor Station Turbine Generator 4.,COMPLETED,2026-07-07T15:41:13.789862,2026-07-07T18:41:13.789862
MNT-14,EQ-WH-3,W-82,CORRECTIVE,Standard checks on Warehouse Logistics Compressor 3.,OVERDUE,2026-07-07T16:26:13.789862,
MNT-15,EQ-MW-5,W-103,CORRECTIVE,Standard checks on Maintenance Workshop Storage Tank 5.,COMPLETED,2026-07-05T13:01:13.789862,2026-07-05T16:01:13.789862
MNT-16,EQ-WH-6,W-57,PREVENTIVE,Standard checks on Warehouse Logistics Steam Boiler 6.,SCHEDULED,2026-07-06T16:01:13.789862,
MNT-17,EQ-BH-2,W-115,EMERGENCY,Standard checks on Boiler House Preheater 2.,COMPLETED,2026-07-07T15:56:13.789862,2026-07-07T17:56:13.789862
MNT-18,EQ-GS-2,W-200,PREVENTIVE,Standard checks on Gas Storage Facility Conveyor Belt 2.,COMPLETED,2026-07-10T17:31:13.789862,2026-07-10T20:31:13.789862
MNT-19,EQ-RMH-5,W-139,PREVENTIVE,Standard checks on Raw Material Handling Steam Boiler 5.,SCHEDULED,2026-07-02T02:51:13.789862,
MNT-20,EQ-UA-5,W-98,CORRECTIVE,Standard checks on Utilities Area Extractor Fan 5.,SCHEDULED,2026-07-03T02:51:13.789862,
MNT-21,EQ-CR-5,W-91,EMERGENCY,Standard checks on Control Room Hub Extractor Fan 5.,COMPLETED,2026-07-09T16:46:13.789862,2026-07-09T17:46:13.789862
MNT-22,EQ-GS-2,W-93,EMERGENCY,Standard checks on Gas Storage Facility Conveyor Belt 2.,COMPLETED,2026-07-09T10:51:13.789862,2026-07-09T12:51:13.789862
MNT-23,EQ-MW-3,W-221,PREVENTIVE,Standard checks on Maintenance Workshop Valve Block 3.,OVERDUE,2026-07-05T02:21:13.789862,
MNT-24,EQ-CR-5,W-96,PREVENTIVE,Standard checks on Control Room Hub Extractor Fan 5.,OVERDUE,2026-07-06T13:11:13.789862,
MNT-25,EQ-RMH-2,W-188,PREVENTIVE,Standard checks on Raw Material Handling Valve Block 2.,COMPLETED,2026-07-05T08:56:13.789862,2026-07-05T09:56:13.789862
MNT-26,EQ-UA-2,W-241,CORRECTIVE,Standard checks on Utilities Area Turbine Generator 2.,COMPLETED,2026-07-09T07:46:13.789862,2026-07-09T11:46:13.789862
MNT-27,EQ-COB-3,W-41,PREVENTIVE,Standard checks on Coke Oven Battery Compressor 3.,OVERDUE,2026-07-05T20:41:13.789862,
MNT-28,EQ-GS-3,W-162,CORRECTIVE,Standard checks on Gas Storage Facility Extractor Fan 3.,COMPLETED,2026-07-11T14:56:13.789862,2026-07-11T15:56:13.789862
MNT-29,EQ-UA-1,W-32,CORRECTIVE,Standard checks on Utilities Area Conveyor Belt 1.,SCHEDULED,2026-07-07T05:01:13.789862,
MNT-30,EQ-BF-2,W-210,PREVENTIVE,Standard checks on Blast Furnace Steam Boiler 2.,COMPLETED,2026-07-05T16:11:13.789862,2026-07-05T17:11:13.789862
MNT-31,EQ-CS-4,W-185,EMERGENCY,Standard checks on Compressor Station Turbine Generator 4.,COMPLETED,2026-07-07T17:51:13.789862,2026-07-07T18:51:13.789862
