permit_id,permit_number,type,zone_id,equipment_id,worker_id,status,start_time,end_time,hazards,controls
PRM-1,P-20000,HOT_WORK,Z-1,EQ-MW-4,W-231,ACTIVE,2026-07-02T03:26:13.789862,2026-07-02T11:06:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-2,P-20001,EXCAVATION,Z-5,EQ-MW-3,W-114,COMPLETED,2026-07-04T02:01:13.789862,2026-07-04T02:41:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-3,P-20002,ELECTRICAL_ISOLATION,Z-10,EQ-CR-3,W-177,COMPLETED,2026-07-10T22:11:13.789862,2026-07-10T23:46:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-4,P-20003,ELECTRICAL_ISOLATION,Z-8,EQ-WH-4,W-219,COMPLETED,2026-07-04T16:01:13.789862,2026-07-04T17:31:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-5,P-20004,CONFINED_SPACE,Z-2,EQ-BF-5,W-92,COMPLETED,2026-07-07T06:16:13.789862,2026-07-07T08:16:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-6,P-20005,ELECTRICAL_ISOLATION,Z-5,EQ-MW-1,W-71,COMPLETED,2026-07-02T03:31:13.789862,2026-07-02T05:01:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-7,P-20006,HOT_WORK,Z-10,EQ-CR-3,W-214,COMPLETED,2026-07-10T11:01:13.789862,2026-07-10T12:46:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-8,P-20007,EXCAVATION,Z-4,EQ-BH-2,W-163,COMPLETED,2026-07-06T20:21:13.789862,2026-07-06T21:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-9,P-20008,ELECTRICAL_ISOLATION,Z-10,EQ-CR-1,W-161,COMPLETED,2026-07-11T11:26:13.789862,2026-07-11T12:16:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-10,P-20009,ELECTRICAL_ISOLATION,Z-1,EQ-COB-3,W-149,COMPLETED,2026-07-08T02:31:13.789862,2026-07-08T03:06:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-11,P-20010,CONFINED_SPACE,Z-3,EQ-GS-4,W-192,ACTIVE,2026-07-03T04:26:13.789862,2026-07-03T10:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-12,P-20011,CONFINED_SPACE,Z-3,EQ-GS-3,W-225,COMPLETED,2026-07-03T17:11:13.789862,2026-07-03T19:06:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
