shift_id,zone_id,log_text,handover_quality,timestamp
SHIFT-1,Z-1,Zone Coke Oven Battery inspected. Parameters nominal.,FAIR,2026-07-01T20:06:13.789862
SHIFT-1,Z-2,Zone Blast Furnace inspected. Parameters nominal.,GOOD,2026-07-01T20:06:13.789862
SHIFT-1,Z-3,Zone Gas Storage Facility inspected. Parameters nominal.,GOOD,2026-07-01T20:06:13.789862
SHIFT-1,Z-4,Zone Boiler House inspected. Parameters nominal.,GOOD,2026-07-01T20:06:13.789862
SHIFT-1,Z-5,Zone Maintenance Workshop inspected. Parameters nominal.,GOOD,2026-07-01T20:06:13.789862
SHIFT-1,Z-6,Zone Compressor Station inspected. Parameters nominal.,GOOD,2026-07-01T20:06:13.789862
SHIFT-1,Z-7,Zone Raw Material Handling inspected. Parameters nominal.,GOOD,2026-07-01T20:06:13.789862
SHIFT-1,Z-8,Zone Warehouse Logistics inspected. Parameters nominal.,GOOD,2026-07-01T20:06:13.789862
SHIFT-1,Z-9,Zone Utilities Area inspected. Parameters nominal.,GOOD,2026-07-01T20:06:13.789862
SHIFT-1,Z-10,Zone Control Room Hub inspected. Parameters nominal.,GOOD,2026-07-01T20:06:13.789862
SHIFT-2,Z-1,Zone Coke Oven Battery inspected. Parameters nominal.,GOOD,2026-07-01T21:06:13.789862
SHIFT-2,Z-2,Zone Blast Furnace inspected. Parameters nominal.,FAIR,2026-07-01T21:06:13.789862
SHIFT-2,Z-3,Zone Gas Storage Facility inspected. Parameters nominal.,GOOD,2026-07-01T21:06:13.789862
SHIFT-2,Z-4,Zone Boiler House inspected. Parameters nominal.,GOOD,2026-07-01T21:06:13.789862
SHIFT-2,Z-5,Zone Maintenance Workshop inspected. Parameters nominal.,FAIR,2026-07-01T21:06:13.789862
SHIFT-2,Z-6,Zone Compressor Station inspected. Parameters nominal.,GOOD,2026-07-01T21:06:13.789862
SHIFT-2,Z-7,Zone Raw Material Handling inspected. Parameters nominal.,GOOD,2026-07-01T21:06:13.789862
SHIFT-2,Z-8,Zone Warehouse Logistics inspected. Parameters nominal.,GOOD,2026-07-01T21:06:13.789862
SHIFT-2,Z-9,Zone Utilities Area inspected. Parameters nominal.,GOOD,2026-07-01T21:06:13.789862
SHIFT-2,Z-10,Zone Control Room Hub inspected. Parameters nominal.,GOOD,2026-07-01T21:06:13.789862
SHIFT-3,Z-1,Zone Coke Oven Battery inspected. Parameters nominal.,GOOD,2026-07-01T22:06:13.789862
SHIFT-3,Z-2,Zone Blast Furnace inspected. Parameters nominal.,GOOD,2026-07-01T22:06:13.789862
SHIFT-3,Z-3,Zone Gas Storage Facility inspected. Parameters nominal.,GOOD,2026-07-01T22:06:13.789862
SHIFT-3,Z-4,Zone Boiler House inspected. Parameters nominal.,GOOD,2026-07-01T22:06:13.789862
SHIFT-3,Z-5,Zone Maintenance Workshop inspected. Parameters nominal.,GOOD,2026-07-01T22:06:13.789862
SHIFT-3,Z-6,Zone Compressor Station inspected. Parameters nominal.,FAIR,2026-07-01T22:06:13.789862
SHIFT-3,Z-7,Zone Raw Material Handling inspected. Parameters nominal.,GOOD,2026-07-01T22:06:13.789862
SHIFT-3,Z-8,Zone Warehouse Logistics inspected. Parameters nominal.,GOOD,2026-07-01T22:06:13.789862
SHIFT-3,Z-9,Zone Utilities Area inspected. Parameters nominal.,FAIR,2026-07-01T22:06:13.789862
SHIFT-3,Z-10,Zone Control Room Hub inspected. Parameters nominal.,GOOD,2026-07-01T22:06:13.789862
SHIFT-4,Z-1,Zone Coke Oven Battery inspected. Parameters nominal.,GOOD,2026-07-01T23:06:13.789862
SHIFT-4,Z-2,Zone Blast Furnace inspected. Parameters nominal.,GOOD,2026-07-01T23:06:13.789862
SHIFT-4,Z-3,Zone Gas Storage Facility inspected. Parameters nominal.,GOOD,2026-07-01T23:06:13.789862
SHIFT-4,Z-4,Zone Boiler House inspected. Parameters nominal.,GOOD,2026-07-01T23:06:13.789862
SHIFT-4,Z-5,Zone Maintenance Workshop inspected. Parameters nominal.,GOOD,2026-07-01T23:06:13.789862
SHIFT-4,Z-6,Zone Compressor Station inspected. Parameters nominal.,GOOD,2026-07-01T23:06:13.789862
SHIFT-4,Z-7,Zone Raw Material Handling inspected. Parameters nominal.,GOOD,2026-07-01T23:06:13.789862
SHIFT-4,Z-8,Zone Warehouse Logistics inspected. Parameters nominal.,GOOD,2026-07-01T23:06:13.789862
SHIFT-4,Z-9,Zone Utilities Area inspected. Parameters nominal.,GOOD,2026-07-01T23:06:13.789862
SHIFT-4,Z-10,Zone Control Room Hub inspected. Parameters nominal.,GOOD,2026-07-01T23:06:13.789862
SHIFT-5,Z-1,Zone Coke Oven Battery inspected. Parameters nominal.,GOOD,2026-07-02T00:06:13.789862
